tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::9::다::,newgrowth,융복합소재,다. 하이퍼 플라스틱,,인성특성이 향상된 고강성 하이퍼플라스틱(High Performance Plastics) 복합체 제조 및 가공 기술,"고강성 하이퍼플라스틱의 인성특성을 개선하여 고충격성(60KJ/m² 이상), 내화학성(온도 23℃의 염화칼슘 5% 용액에 600시간 담근 후 인장강도 유지율 90% 이상), 내마모성(50rpm, 150N, 측정거리 3Km 조건으로 내마모 시험 후 마모량 1.0mm3/KgfㆍKm 이하) 중 하나 이상의 특성을 지닌 고강성ㆍ고인성 하이퍼플라스틱 복합체 제조 및 가공기술"
newgrowth::9::라::1),newgrowth,융복합소재,라. 구리합금,1),고강도 구리합금 설계ㆍ제조기술,인장강도 900Mpa 이상의 고강도 특성을 갖춘 주석함유 구리합금(Cu-Ni-Sn계) 설계ㆍ제조 기술
newgrowth::9::라::2),newgrowth,융복합소재,라. 구리합금,2),구리 및 구리합금 박판 제조기술,"자동차, 전기ㆍ전자 분야의 고성능ㆍ소형화에 적용 가능한 두께 0.1mm 이하의 구리 및 구리합금 박판 제조 기술"
newgrowth::9::마::1),newgrowth,융복합소재,마. 특수강,1),고청정 스테인레스계 무계목강관ㆍ봉강 제조기술,망간 함유량 0.8% 이하 및 황 함유량 0.005%이하로 제어된 고청정 스테인리스계 합금을 활용하여 용접이음매를 갖지 않는 강관 및 봉 형태의 철강재를 제조하는 기술
newgrowth::9::마::2),newgrowth,융복합소재,마. 특수강,2),고기능성 H형강 제품 제조기술,"고강도(420Mpa급 이상), 고인성(-40℃이하에서 충격값 50 Joule 이상) 특성을 갖는 고기능성 H형강 제품 제조기술"
newgrowth::9::마::3),newgrowth,융복합소재,마. 특수강,3),장수명 프리미엄급 금형소재 제조기술,"기존 교체주기 5만회의 금형대비 30%이상 수명이 향상된 합금설계, 고청정 특수강 제조 및 소성가공 기술"
newgrowth::9::바::1),newgrowth,융복합소재,바. 기능성 탄성ㆍ접착소재,1),고기능 불소계 실리콘 제조ㆍ가공 기술,"내열성(온도 175℃에서 22시간동안 영구압축줄음율 30%이내), 내화학성(150℃, 240시간 내유체적변화율 10%이하) 및 저온성(-66℃이하에서 기밀력 1800psi이상)의 특성을 지닌 불소계 실리콘 고무 합성 및 분자량 제어기술"
newgrowth::9::바::2),newgrowth,융복합소재,바. 기능성 탄성ㆍ접착소재,2),고기능 불소계 고무 제조ㆍ가공 기술,"2원계 이상의 공중합체로서 불소함량이 50% 이상이며 내한성(어는점 －15℃ 이하), 내열성(200℃ 이상) 및 내화학성(온도 25℃ Fuel-C에서 체적변화율 4% 이내)을 갖춘 불소계 고무 제조ㆍ가공기술"
newgrowth::9::바::3),newgrowth,융복합소재,바. 기능성 탄성ㆍ접착소재,3),고기능 부타디엔 고무 제조ㆍ가공 기술,"고상 및 액상 기능성(Cis content 90% 이상, 무니점도(ML1+4, 100℃) 40 이상) 부타디엔류 고무 제조 기술과 고내마모성(내마모도 60㎣ 이하, 구름저항 5.5 이하) 부타디엔 고무 제조 기술"
newgrowth::9::바::4),newgrowth,융복합소재,바. 기능성 탄성ㆍ접착소재,4),고기능 비극성계 접착소재 제조기술,Haze 1% 이하의 광학특성과 연속사용온도 100℃의 열안정성을 갖는 실리콘계 점착ㆍ접착 소재 및 300℃ 이상의 고온가공성형이 가능한 아크릴레이트 함량 5∼35% 또는 관능기의 함량 1.2∼8%의 에틸렌계 점착ㆍ접착 소재 제조 기술
newgrowth::9::바::5),newgrowth,융복합소재,바. 기능성 탄성ㆍ접착소재,5),고기능 에폭시 수지 접착소재 제조 기술,"에폭시 수지를 주성분으로 하여 경량 수송기기 부품의 구조접착에 사용되는 전단강도 25MPa 이상, 저온 충격강도 20N/mm 이상,  T-박리강도 250N/25mm 이상의 기계적 성능을 갖는 접착소재 제조기술과 전자부품의 접착에 사용되는 WVTR( Water Vapor Transmission Rate) 0g/㎡ㆍ24h 이하 및 20kV/mm 이상의 전기절연성을 갖는 비할로겐형 접착소재 제조기술"
newgrowth::9::사::1),newgrowth,융복합소재,사. 희소금속ㆍ소재,1),타이타늄 소재 제조기술과 금속재료 부품화 기술,"사염화타이타늄(TiCl4), 스폰지, 잉곳, 루타일 및 아나타제 이산화타이타늄(TiO2) 등의 소재 개발ㆍ제조기술과 합금설계, 압연, 주조, 단조, 용접 등의 금속재료 부품화 기술"
newgrowth::9::사::2),newgrowth,융복합소재,사. 희소금속ㆍ소재,2),고순도 몰리브덴 금속ㆍ탄화물 분말 및 금속괴 제조 기술,"순도 99.5% 이상의 몰리브덴 금속분말, 순도 99% 이상의 몰리브덴 탄화물 분말 및 순도 99.95% 이상의 몰리브덴 금속괴 제조 기술"
newgrowth::9::사::3),newgrowth,융복합소재,사. 희소금속ㆍ소재,3),중희토 저감 고기능 영구자석 생산 기술,결정립도 5μm이하 소결체 제조 및 결정립 주변 나노단위 두께의 중희토 확산층 형성 등을 통해 기존 자석 대비 중희토 함유량을 50% 이상 절감하여 고기능 영구자석을 생산하는 기술
newgrowth::9::사::4),newgrowth,융복합소재,사. 희소금속ㆍ소재,4),차세대 배기가스 규제 대응을 위한 핵심소재 생산 기술,"포집된 이산화탄소를 활용하여 운송·발전·산업용 기관을 운전할 때 배출되는 배기가스내 질소산화물, 황산화물 등 배기배출물을 저감시키기 위해 필요한 핵심소재 제조기술"
newgrowth::9::사::5),newgrowth,융복합소재,사. 희소금속ㆍ핵심소재,5),고융점 금속 기반 4N급 염화물 또는 불화물 전환 기술,"저순도 고융점 금속을 고밀도 열원을 통해 4N급(99.99%) 이상의 초고순도 금속으로 정제한 후, 염소 또는 불소계 반응원을 이용해 염화물 또는 불화물로 전환하여 반도체용 전구체 원료 소재를 제조하는 기술"
