index,sector_number,sector_name,item_no,tech_name,facility_description,version,apply_date,status,current,note
11,1,반도체,사.,에너지효율향상 전력반도체 BCDMOS 설계ㆍ제조기술(0.18㎛이하),"실리콘 기반의 저저항ㆍ고효율 특성을 지니며 차세대 응용 분야(5G, 전기자동차, 하이브리드자동차, 태양광, 풍력발전 등 신재생에너지, 스마트그리드 등)에 탑재되는 아날로그, 디지털 로직, 파워소자를 원칩화한 초소형ㆍ초절전 전력반도체(0.18㎛ 이하 BCDMOS) 제조 시설",220318,2021-07-01,신설,False,
12,1,반도체,사.,"에너지효율향상 전력반도체(BCDMOS, UHV, 고전압 아날로그IC) 설계ㆍ제조기술(0.35㎛이하)","실리콘 기반의 저저항ㆍ고효율 특성을 지니며 차세대 응용 분야(5G, 전기자동차, 하이브리드자동차, 차세대 디지털기기용 디스플레이, 태양광, 풍력발전 등 신재생에너지, 스마트그리드 등)에 탑재되는 아날로그, 디지털 로직, 파워소자를 원칩화한 초소형ㆍ초절전 전력반도체(0.35㎛이하 BCDMOS, 800V 이상 UHV, 12V 이상 고전압 아날로그 IC) 제조 시설",230320,2023-01-01,변경,True,
13,1,반도체,아.,차세대 디지털기기용 디스플레이 구동칩 설계‧제조기술,"화면에 문자나 영상 이미지 등이 표시되도록 차세대 디지털기기용 디스플레이(OLED, Flexible, 퀀텀닷, 롤러블, 폴더블, 마이크로LED, Mini LED,고해상도 LCD 등)에 구동 신호 및 데이터를 전기신호로 제공하는 반도체(DDI) 제조 시설",220318,2021-07-01,신설,False,
14,1,반도체,아.,차세대 디지털기기ㆍ차량용 디스플레이 반도체 설계ㆍ제조기술,"화면에 문자나 영상 이미지 등이 표시되도록 차세대 디지털기기 및 차량의 디스플레이(OLED, Flexible, 퀀텀닷, 롤러블, 폴더블, 마이크로LED, Mini LED, 4Kㆍ120Hz급 이상 고해상도 LCD 등)에 구동 신호 및 데이터를 전기신호로 제공하는 반도체(DDI), 디스플레이 패널의 영상 정보를 변환ㆍ조정하는 것을 주기능으로 하는 반도체(T-Con), 디스플레이용 반도체와 패널에 필요한 전원전압을 생성ㆍ제어하는 반도체(PMIC)를 제조하는 시설",230320,2023-01-01,변경,True,
15,1,반도체,자.,SoC 반도체 개발‧양산 위한 파운드리 분야 7nm 이하급 제조공정 및 공정 설계기술,SoC(System on Chip) 반도체 개발‧양산을 위한 핵심 기반기술로 파운드리(Foundry) 분야의 7nm 이하급 제조 시설,220318,2021-07-01,신설,True,
16,1,반도체,차.,"WLP, PLP, SiP, 플립칩 기술 등을 활용한 2D/2.5D/3D 패키징 공정기술 및 패키징 관련 소재‧부품‧장비설계‧제조기술","반도체 패키징 기술(WLP, PLP, SiP, 플립칩 등)을 활용한 2D/2.5D/3D 패키징 공정기술‧테스트 및 패키징‧테스트 관련 소재, 부품, 장비 제조 시설",220318,2021-07-01,신설,True,
17,1,반도체,카.,반도체용 실리콘 기판 및 화합물 기판 개발 및 제조기술,"16nm 이하급 D램과 128단 이상 낸드플래시메모리, 7nm 이하급 파운드리 SoC, 에피텍셜 반도체용의 실리콘 기판 및 화합물(SiC, GaN, Ga2O3) 기판을 제조하는 시설",220318,2021-07-01,신설,True,
18,1,반도체,타.,"첨단 메모리반도체 및 차세대 메모리반도체, SoC 반도체 파운드리 소재ㆍ장비ㆍ장비부품 설계ㆍ제조기술","첨단 메모리반도체(16nm급 이하 D램 및 128단 이상 낸드플래시메모리), 차세대 메모리반도체(STT-MRAM, PRAM, ReRAM) 및 SoC 반도체 파운드리의 소재, 장비 및 부품 제조 시설",220318,2021-07-01,신설,False,
19,1,반도체,타.,"첨단 메모리반도체 및 차세대 메모리반도체, SoC 반도체 파운드리 소재ㆍ장비ㆍ장비부품 설계ㆍ제조기술","첨단 메모리반도체(16nm급 이하 D램 및 128단 이상 낸드플래시메모리), 차세대 메모리반도체(STT-MRAM, PRAM, ReRAM, PIM, HBM, LLC, CXL, SOM) 및 SoC 반도체 파운드리의 소재, 장비 및 부품 제조 시설",250321,2025-01-01,변경,True,
20,1,반도체,파.,포토레지스트(Photoresist) 개발 및 제조기술,"반도체 및 디스플레이용 회로형성에 필요한 리소그래피(lithography)용 수지로서 회로의 내열성, 전기적 특성, 현상(Developing) 특성을 좌우하는 포토레지스트 및 관련 소재를 제조하는 시설 [ArF(불화아르곤) 광원용 및 EUV(극자외선) 광원용]",220318,2021-07-01,신설,True,
21,1,반도체,하.,원자층증착법 및 화학증착법을 위한 고유전체용 전구체 개발 기술,"기존의 이산화규소(SiO2)보다 우수한 유전특성을 갖는 high-k dielectric 박막 증착을 위한 원자층증착법(ALD, Atomic Layer Deposition) 및 화학증착법(CVD, Chemical Vapor Deposition)공정에 사용되는 전구체를 제조하는 시설",220318,2021-07-01,신설,True,
22,1,반도체,거.,고순도 불화수소 개발 및 제조기술,반도체 회로형성에 필요한 순도 99.999%(5N) 이상의 고순도 불화수소를 제조하는 시설,220318,2021-07-01,신설,True,
23,1,반도체,너.,블랭크 마스크 개발 및 제조기술,"ArF(불화아르곤) 광원 및 EUV(극자외선) 광원을 이용하여 반도체 회로를 형성하는 데 사용되는 블랭크마스크 원판 및 관련 소재[펠리클(Pelllicle), 합성 쿼츠, 스터러링용 타겟 등을 포함]를 제조하는 시설",220318,2021-07-01,신설,False,
24,1,반도체,너.,블랭크 마스크 개발 및 제조기술,"ArF(불화아르곤) 광원 및 EUV(극자외선) 광원을 이용하여 반도체 회로를 형성하는 데 사용되는 블랭크마스크 원판 및 관련 소재[펠리클(Pellicle), 합성 쿼츠, 스터러링용 타겟 등을 포함]를 제조하는 시설",260320,2026-01-01,변경,True,
25,1,반도체,더.,고기능성 인산 제조 기술,"SiNx, SiOx 막질의 선택적인 식각이 가능한 고선택비(1,000 이상) 인산계 식각액 제조 시설",220318,2021-07-01,신설,True,
26,1,반도체,러.,고순도 석영(쿼츠) 도가니 제조 기술,반도체 웨이퍼 제조용 용융 실리콘의 오염을 막기 위한 도가니 형태의 순도 99.999%(5N) 이상의 고순도 석영 용기 제조 시설,220318,2021-07-01,신설,True,
27,1,반도체,머.,코트막형성재 개발 및 제조기술,완성된 반도체 소자의 표면을 외부환경으로부터 보호하기 위해 사용하는 절연성을 가진 고감도(80mJ/㎠ 이하) 감광성 코팅 기술 또는 패키징 재배선(배선폭 7㎛ 이하) 형성 재료 제조 시설,220318,2021-07-01,신설,True,
28,1,반도체,버.,"고성능ㆍ고효율 시스템 반도체의 테스트 기술 및 테스트 관련 장비, 부품 설계ㆍ제조기술","1) 동작속도 250MHz 이상의 SoC(System on Chip) 반도체, 6GHz 이상의 주파수를 지원하는 RF(Radio Frequency) 반도체, AEC-Q100을 만족하는 차량용 반도체, 4,800만화소 이상의 모바일용 CMOS 이미지센서, 내전압 1,000V 이상의 전력반도체, 소스채널 900개 이상의 OLED용 DDI(Display Driver IC)의 양ㆍ불량 여부를 전기적 특성검사를 통해 판단할 수 있는 테스트 시설
2) 1)에 따른 테스트에 사용되는 최대 검사속도 500Mbps 이상의 주검사장비, 접촉정확도 1㎛ 이하의 프로브스테이션(Probe Station), MEMS(Micro Electro Mechanial System) 기술 기반의 프로브카드를 제조하는 시설",230320,2023-01-01,신설,True,
29,1,반도체,서.,AI 컴퓨팅을 위한 차세대 MCM(Multi-Chip Module)의 설계ㆍ제조 및 관련 신소재ㆍ부품 개발 기술,"다음의 요건을 모두 충족하는 고성능 AI 가속기용 CCL(Copper Clad Laminate)의 제조를 위한 프리프레그(Pre-preg) 설비(분말 원재료 분산 장치, 이물 필터링 장치, 이물 검출 장치, 두께 측정 장치 등) 및 씬코어(Thin-core) 설비(자성 이물 검출 장치 등)  1) 고속 신호전송을 위한 저손실 특성(Ultra Low Loss) Df 0.002 미만  2) 고밀도 전력 처리 및 효과적 열분산을 위한 열신뢰성 평가(Thermal Cycling Test) 기준 －55℃ ~ 160℃ / 500 cycles 이상  3) 대규모 데이터 전송 및 전력 분배를 위한 18층 이상의 PCB 구조  4) 반도체 및 부품 실장 안정성 확보를 위한 열팽창계수(CTE) 1.5% 이하",260320,2026-01-01,신설,True,
30,2,이차전지,가.,고에너지밀도 이차전지 팩 제조기술,"전기차, 에너지저장장치 등에 사용되는 이차전지 팩의 중량당 에너지밀도를 160Wh/kg 이상으로 구현하기 위한 모듈 및 팩 제조 시설",220318,2021-07-01,신설,True,
31,2,이차전지,나.,고성능 리튬이차전지 부품ㆍ소재ㆍ셀 및 모듈 제조 기술,"이차전지 셀을 기준으로 중량당 에너지밀도가 265Wh/kg 이상 또는 1시간 기준 방전출력 대비 6배 이상의 고출력(6C-rate 이상) 또는 충방전 1,000회 이상의 장수명을 충족하는 고성능 리튬이차전지에 사용되는 부품ㆍ소재ㆍ셀 및 모듈 제조 시설",220318,2021-07-01,신설,True,
32,2,이차전지,다.,사용후 배터리 평가 및 선별 기술,수명이 종료(초기용량 대비 80% 이하)된 전기동력 자동차 배터리를 검사ㆍ분해ㆍ평가하는 시설,220318,2021-07-01,신설,True,
33,2,이차전지,라.,사용후배터리 재활용 기술,"수명이 종료된 사용후배터리를 친환경적으로 처리하고, 리튬, 니켈, 코발트, 구리 등 재자원화가 가능한 유가금속을 회수하는 시설 (리튬 35% 이상, 니켈/코발트 90% 이상 회수)",220318,2021-07-01,신설,True,
34,2,이차전지,마.,차세대 리튬이차전지 부품ㆍ소재ㆍ셀 및 모듈 제조 기술,중량당 방전용량이 600mAh/g 이상인 고성능 전극 또는 고체전해질을 기반으로 하는 차세대 리튬이차전지에 사용되는 부품ㆍ소재ㆍ셀 및 모듈 제조시설,220318,2021-07-01,신설,True,
35,2,이차전지,바.,하이니켈 양극재 제조기술,"니켈 함량이 80% 이상인 고용량 양극재 및 리튬계 원자재, 금속전구체 등 양극재 원료와 관련 장비를 제조하는 시설",220318,2021-07-01,신설,True,
36,2,이차전지,사.,장수명 음극재 제조기술,"충방전 1,000회 이상이 가능한 장수명 음극재 및 음극재 제조에 필요한 카본계 또는 금속계의 원료와 이의 제작에 필요한 장비를 제조하는 시설",220318,2021-07-01,신설,True,
37,2,이차전지,아.,이차전지 분리막 및 전해액 제조기술,"수명특성, 신뢰성, 안전성을 향상시키는 분리막 과 저온특성, 장수명, 안전성을 향상시키는 전해액 및 이와 관련된 원료ㆍ장비를 제조하는 시설",220318,2021-07-01,신설,True,
38,2,이차전지,자.,이차전지 부품 제조기술,"배터리 장기 사용을 위한 패키징 부품(파우치, 캔, 리드탭)과 고성능 배터리를 위한 전극용 소재부품(도전재, 바인더, 집전체) 및 이와 관련된 원료ㆍ장비를 제조하는 시설",220318,2021-07-01,신설,True,
39,2,이차전지,차.,양극재용 고순도 금속 화합물 제조ㆍ가공기술,"금속이온 원료로부터 결정화, 정련, 전환 및 정제 기술을 활용하여 중간체 및 순도 99% 이상의 양극재용 금속화합물(수산화리튬, 탄산리튬, 황산니켈, 황산코발트, 황산망간)로 제조ㆍ가공하는 시설",250321,2025-01-01,신설,True,
40,3,백신,가.,방어 항원 등 스크리닝 및 제조기술,"각종 질환을 치료하거나(치료용 백신) 예방하기 위해(예방용 백신) 면역기전을 이용하여 인체질환을 방어하는 물질(항원, 핵산, 바이러스벡터 등)을 스크리닝하고 제조하는 시설 및 이를 적용한 백신을 제조하는 시설",220318,2021-07-01,신설,True,
41,3,백신,나.,원료 및 원부자재 등 개발ㆍ제조 기술,"백신 개발ㆍ제조에 필요한 원료 및 원부자재(필터, 레진, 버퍼, 배양배지 등) 또는 백신의 효능을 증가시키는 물질(면역보조제)을 제조하는 시설",220318,2021-07-01,신설,True,
42,3,백신,다.,생산장비 개발ㆍ제조 기술,"백신 및 백신 원료ㆍ원부자재(필터, 레진, 버퍼, 배양배지 등) 생산에 필요한 장비를 제조하는 시설",220318,2021-07-01,신설,True,
43,4,디스플레이,가.,AMOLED 패널 설계ㆍ제조ㆍ공정ㆍ모듈ㆍ구동 기술,"기판(유리, 플렉시블, 스트레처블) 위에 저온폴리실리콘산화물(LTPO)ㆍ저온폴리실리콘(LTPS)ㆍ산화물(Oxide) TFT를 형성한 백플레인 또는 실리콘(Silicon)에 구동소자를 형성한 웨이퍼에 발광특성을 가진 유기물을 진공 증발 증착 또는 프린팅 방식으로 형성하는 FHD 이상의 고화질 또는 고성능(고휘도, 저소비전력) 패널과 구동소자, 커버윈도우 등을 가공·조립하는 AMOLED 패널을 제조하는 시설",230320,2023-01-01,신설,True,
44,4,디스플레이,나.,친환경 QD(Quantum Dot) 소재 적용 디스플레이 패널 설계ㆍ제조ㆍ공정ㆍ모듈ㆍ구동 기술,"반치폭(FWHM, full width at half maximum) 40나노미터(nm) 이하인 RoHS(유럽 6대 제한물질 환경규제) 충족 QD 소재를 노광 또는 직접 패터닝 방식으로 제조한 패널과 구동소자, 커버윈도우 등을 가공ㆍ조립하는 친환경 QD 소재 적용 디스플레이 패널을 제조하는 시설",230320,2023-01-01,신설,True,
45,4,디스플레이,다.,Micro LED 디스플레이 패널 설계ㆍ제조ㆍ공정ㆍ모듈ㆍ구동 기술,"실리콘(Silicon) 또는 사파이어(Sapphire) 기판에 저결함(1x1015/cm3 이하) 에피(Epi)공정을 적용한 단축 50㎛ 크기 이하의 RㆍGㆍB 마이크로 LED를 적용한 패널과 구동소자, 커버윈도우 등을 가공·조립하는 Micro LED 디스플레이 패널을 제조하는 시설",230320,2023-01-01,신설,True,
46,4,디스플레이,라.,디스플레이 패널 제조용 증착ㆍ코팅 소재 기술,전자이동도 9㎠/Vs 이상의 산화물 TFT(Thin Film Transistor)와 유기물(발광ㆍ공통층) 소재 및 양자점(QD)ㆍ화소격벽ㆍ폴리이미드(PI) 코팅소재 등 디스플레이 패널 제조용 증착ㆍ코팅 소재를 제조하는 시설,230320,2023-01-01,신설,True,
47,4,디스플레이,마.,디스플레이 TFT 형성 장비 및 부품 기술,"전자이동도 9㎠/Vs 이상의 TFT(Thin Film Transistor) 형성공정에 사용되는 노광기, 물리 또는 화학적 증착기, 이온주입기, 식각기, 검사장비를 제조하는 시설",230320,2023-01-01,신설,True,
48,4,디스플레이,바.,OLED 화소 형성ㆍ봉지 공정 장비 및 부품 기술,"유기증착기(Evaporation), 잉크젯장비(Inkjet), 봉지장비(Encapsulation), FMM(Fine Metal Mask) 등 OLED 화소 형성 및 봉지 공정에 사용되는 장비와 부품을 제조하는 시설",240322,2024-01-01,신설,True,
49,4,디스플레이,사.,디스플레이 하이브리드 커버 윈도우 소재 기술,"디스플레이 패널을 외부로부터 보호하기 위한 두께 100μm 이하 초박형유리(Ultra Thin Glass, UTG) 및 UTG 광학증착ㆍ코팅 소재, 투과율 80% 이상인 초박형 유ㆍ무기 하이브리드 필름 등 커버 윈도우 소재 제조 시설",250321,2025-01-01,신설,True,
50,4,디스플레이,아.,"마이크로LED 에피(Epi)ㆍ전사ㆍ접합 소재, 부품, 장비 기술","고효율, 저결함 에피성장을 위한 고순도(99% 이상) 금속유기(Metal-Organic) 가스와 기판(substrate), 전극 형성을 위한 접합소재, 외부양자효율(External Quantum Efficiency, EQE) 청색 20%, 녹색 10%, 적색 5% 이상의 에피기판ㆍ칩 등 화소 형성을 위한 소재ㆍ부품 제조 시설 및 Micro LED 성장을 위한 에피 공정, 에피 LED 칩 제조를 위한 분리ㆍ보호막 공정, 백플레인 기판의 화소 영역에 칩을 전사ㆍ접합하는 공정 등에서 사용되는 장비 제조 시설",250321,2025-01-01,신설,True,
51,5,수소,가.,수전해 기반 청정수소 생산기술,"재생에너지ㆍ원자력에너지 등 무탄소 전원, 계통제약전력(미활용전력) 등을 활용하여 물을 분해하여 청정수소를 생산ㆍ공급하는 수전해 공정의 소재ㆍ부품ㆍ스택(stack)ㆍ시스템을 설계 및 제조하는 시설",230607,2023-01-01,신설,True,
52,5,수소,나.,탄소포집 청정수소 생산기술,천연가스 또는 액화석유가스로부터 추출수소를 생산하는 과정에서 배출되는 이산화탄소를 포집하여 청정수소를 생산하는 시설,230607,2023-01-01,신설,True,
53,5,수소,다.,수소연료 저장ㆍ공급 장치 제조 기술,수소연료로 전기를 생산하여 운행되는 이동수단에 수소연료를 저장ㆍ공급하는 장치를 제조하는 시설,230607,2023-01-01,신설,True,
54,5,수소,라.,수소충전소의 수소 생산ㆍ압축ㆍ저장ㆍ충전 설비 부품 제조기술,"수소충전소의 수소 생산설비, 압축설비, 저장설비, 충전설비 및 그 부품을 설계 및 제작하는 시설",230607,2023-01-01,신설,True,
55,5,수소,마.,수소차용 고밀도 고효율 연료전지시스템 기술,"연료전지 스택 출력밀도 3.1kW/L 이상 또는 연료전지 스택 운전효율[저위발열량(LHV, Lower Heating Value)에 따라 산출된 운전효율을 말한다] 60% 이상을 만족하는 수소전기차용 고밀도ㆍ고효율 연료전지시스템을 설계 및 제조하는 시설",230607,2023-01-01,신설,True,
56,5,수소,바.,연료전지 전용부품 제조기술,"연료전지 핵심부품인 개질기, 막전극 접합체, 금속 분리판 또는 블로어를 제조하는 시설",230607,2023-01-01,신설,True,
57,5,수소,사.,수소 가스터빈(혼소ㆍ전소) 설계 및 제작 기술,수소를 연료로 사용하여 연소시킬 때 발생하는 고온ㆍ 고압의 에너지로 발전기를 회전시켜 전기를 생산하는 가스터빈의 부품 설계ㆍ제작ㆍ조립ㆍ시험ㆍ평가를 위한 시설,240322,2024-01-01,신설,True,
58,5,수소,아.,수소환원제철 기술,"철강 제조공정에서 수소(H2)를 사용하여 철광석을 환원하고, 전기용융로에서 쇳물(용선)을 생산하는 시설",240322,2024-01-01,신설,True,
59,5,수소,자.,수소 저장 효율화 기술,"수소를 고압기체, 액체, 암모니아, 액상 유기물 수소 저장체(LOHC) 등의 형태로 저장하거나 고체에 흡장 또는 흡착하여 저장하기 위한 시설",240322,2024-01-01,신설,True,
60,5,수소,차.,수소 처리 바이오에너지 생산기술,"수소(H2)와 생물유기체에서 유래한 원료를 이용하여 직접 또는 전환공정을 통해 연료나 석유화학 원료로 사용할 수 있는 디젤, 항공유, 액화석유가스, 나프타를 생산하는 시설",250321,2025-01-01,신설,True,
61,6,미래형 운송 및 이동수단,가.,주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 라이다 센서(LIDAR sensor)를 제작하는 시설",230607,2023-01-01,신설,True,2025-07-01 '미래형 이동수단'에서 '미래형 운송 및 이동수단'으로 분야명 변경
62,6,미래형 운송 및 이동수단,나.,전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 바퀴에 전달하기 위한 감속기ㆍ변속기 등을 고효율화하는 구동시스템을 제조하는 시설,230607,2023-01-01,신설,False,
63,6,미래형 운송 및 이동수단,나.,전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 바퀴에 전달하기 위한 감속기ㆍ변속기 등을 고효율화하는 구동시스템을 제조하는 시설 및 해당 고효율화 구동시스템이 적용된 전기동력 자동차를 제조하는 시설,230829,2023-07-01,변경,True,2025-07-01 '미래형 이동수단'에서 '미래형 운송 및 이동수단'으로 분야명 변경
64,6,미래형 운송 및 이동수단,다.,전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와 전기동력 자동차와 연결되는 충전 인터페이스장치를 설계ㆍ제조하는 시설",230607,2023-01-01,신설,True,2025-07-01 '미래형 이동수단'에서 '미래형 운송 및 이동수단'으로 분야명 변경
65,6,미래형 운송 및 이동수단,라.,주행지능정보처리 통합시스템 기술,인지 센서를 통해 수집된 정보를 차량환경에서 고속처리하는 컴퓨팅모듈 통합시스템과 차량 내ㆍ외 통신부품을 설계ㆍ제조하는 시설,251128,2025-07-01,신설,True,2025-07-01 '미래형 이동수단'에서 '미래형 운송 및 이동수단'으로 분야명 변경
66,6,미래형 운송 및 이동수단,마.,인공지능형 자율운항 기술,"선박의 자율항해, 원격제어, 경제운항 및 관리운항을 지원하는 기술로서 선박 주변 해상 상황을 인지ㆍ분석하여 최적 경로로 운항하는 자율운항 알고리즘 소프트웨어 기술, 서비스 플랫폼 제작 기술, 기관ㆍ화물 등의 상태 정보를 수집하는 센서기술, 수집된 정보를 처리ㆍ분석하는 선박 모니터링ㆍ시뮬레이션 기술, 기관제어ㆍ고장예지ㆍ원격진단ㆍ원격정비 등의 선박 통합제어 관리 기술, 선박-육상 데이터 네트워크 보안 및 ROC(Remote Operation Center) 기술을 구현하는 장치ㆍ설비를 설계ㆍ제조ㆍ시험ㆍ평가하는 시설",251128,2025-07-01,신설,True,2025-07-01 '미래형 이동수단'에서 '미래형 운송 및 이동수단'으로 분야명 변경
67,6,미래형 운송 및 이동수단,바.,환경친화적 첨단 선박의 운송ㆍ추진 기술,"다음의 어느 하나에 해당하는 시스템의 소재 개발 및 설계ㆍ제조하는 시설  1) 가스화물(LNGㆍLPGㆍ에탄ㆍ암모니아ㆍ수소ㆍ이산화탄소를 포함한다)의 저장ㆍ운송ㆍ적하역시스템(화물창, 연료탱크 및 카고핸들링 시스템 등을 포함한다)  2) 환경친화적 에너지(LNGㆍLPGㆍ암모니아ㆍ수소ㆍ에탄ㆍ메탄올ㆍ에탄올ㆍ원자력 등을 포함한다) 또는 전기에너지를 추진동력원이나 선내 전력으로 사용하기 위한 추진ㆍ발전시스템(연료공급시스템, 동력발생장치, 에너지저장ㆍ전력변환ㆍ배전ㆍ전력관리 시스템, 추진장치 및 제어시스템 등을 포함한다)",260320,2026-01-01,신설,True,2025-07-01 '미래형 이동수단'에서 '미래형 운송 및 이동수단'으로 분야명 변경
68,6,미래형 운송 및 이동수단,사.,환경친화적 첨단 선박의 디지털 설계ㆍ생산운영 기술,환경친화적 첨단 선박의 디지털 기반 설계ㆍ생산 공정 구축을 위한 설계 자동화 기술 및 건조 공정의 데이터 취득ㆍ분석ㆍ검증을 통한 생산운영 기술을 구현하는 장치ㆍ설비를 제작ㆍ실증하는 시설,260320,2026-01-01,신설,True,2025-07-01 '미래형 이동수단'에서 '미래형 운송 및 이동수단'으로 분야명 변경
69,7,바이오의약품,가.,바이오 신약[바이오 베터(Bio Better)를 포함한다] 후보물질 발굴 및 바이오 신약 제조 기술,"유전자재조합기술, 세포배양ㆍ정제ㆍ충전 기술 등 새로운 생명공학기술을 이용하여 생명체에서 유래된 단백질ㆍ호르몬ㆍ펩타이드ㆍ핵산ㆍ핵산유도체 등을 원료 및 재료로 하는 단백질의약품ㆍ유전자치료제ㆍ항체치료제ㆍ세포치료제를 제조하는 시설",230829,2023-07-01,신설,True,
70,7,바이오의약품,나.,바이오시밀러 제조 및 개량 기술,바이오시밀러를 제조하는 시설,230829,2023-07-01,신설,True,
