concept_id,en_abbrev,en_full,korean,domain,short,related
b5,B5,B5 Life,B5 내구 수명,부품,"장비나 기계 부품 무리가 동일한 조건에서 장시간 작동할 때, 전체 부품 중 5%가 손상되거나 수명을 다하게 되는 시점까지의 총 운전 시간을 나타내는 신뢰성 표준 지표입니다. 부품의 장기적인 내구 품질을 엄격하게 증명하는 기준입니다. 굴착기 등 건설기계의 핵심 유압 부품인 메인 컨트롤 밸브가 만 시간 이상의 높은 신뢰성을 갖추었는지 평가할 때 쓰입니다.",
bcdmos,BCDMOS,Bipolar-CMOS-DMOS,복합형 전력반도체 공정 기술,반도체,"고속 아날로그 신호를 다루는 소자, 복잡한 연산을 수행하는 디지털 소자, 고전압을 견디는 전력 소자를 하나의 반도체 칩 안에 통합해 만드는 공정 기술입니다. 각기 다른 역할을 하는 부품들을 단 하나의 칩으로 합쳐 크기를 대폭 줄이고 에너지 소비 효율을 높여 스마트폰 전력 관리 등에 활용됩니다.",
black-uniformity,,Black Uniformity,블랙 균일도,디스플레이,"화면 전체를 완전한 검은색으로 표현했을 때, 어느 한 부분 빛이 새어 나오거나 흐려짐 없이 전 영역이 얼마나 고르고 균일하게 어두운지를 나타내는 디스플레이 화질 평가 지표입니다. 이 값이 높을수록 어두운 환경에서도 왜곡 없는 선명한 화면을 볼 수 있습니다. 곡면 형태로 휘어지는 차세대 차량용 계기판 및 디스플레이 패널의 야간 시인성 검증에 쓰입니다.",
bop,BOP,Balance of Plant,플랜트 종합 보조 계통,원자력,"원자력발전소에서 원자로와 같은 핵심 주기기를 제외한 터빈, 발전기, 냉각수 시스템 등 모든 부속 설비와 보조 계통을 통틀어 일컫는 말입니다. 원자로에서 만든 열로 증기를 돌려 실제 전기를 생산하고 플랜트 전체를 안전하게 유지하는 지지대 역할을 하므로, 신형 원전 및 소형 모듈 원자로의 종합 설계에 필수적입니다.",mmis
bps,bps,bits per second,초당 비트 전송률,통신,통신 선로나 무선망을 통해 1초 동안 전송할 수 있는 데이터의 가장 작은 단위인 비트의 개수를 나타내는 속도 단위입니다. 이 수치가 클수록 초고속 대용량 데이터 전송이 가능함을 뜻합니다. 현재의 통신 속도를 넘어 무한대에 가까운 초고속 데이터 전송을 지향하는 차세대 6G 이동통신의 주파수 소자 및 안테나 전송 기술 개발의 주요 규격 목표로 쓰입니다.,
c-rate,C-rate,Charge Rate,충방전율,배터리,배터리가 가지고 있는 전체 총 용량 대비 전기를 얼마나 빠른 속도로 충전하거나 방전시킬 수 있는지를 나타내는 고출력 성능 지표입니다. 배터리의 급속 충전 능력과 강력한 힘의 방출 성능을 평가하는 기준이 됩니다. 고성능 전기차 등에 탑재되어 짧은 시간 내에 대량의 전류를 안정적으로 방전하고 충전하는 리튬 이차전지 셀과 소재 개발에 쓰입니다.,c-rate-2
c-rate-2,C-rate,Charge Rate,충방전율,이차전지,배터리의 전체 총 저장 용량 대비 전류를 충전하거나 방전시키는 속도와 흐름의 양을 나타내는 물리적 단위입니다. 1시간 기준 대비 수치가 높을수록 단시간에 매우 강력한 전기에너지를 뿜어내거나 빠르게 충전할 수 있음을 나타냅니다. 고성능 리튬 이차전지 시스템에서 고출력 방전 성능과 급속 충전 신뢰성을 만족하는 셀과 모듈을 제조할 때 기준이 됩니다.,c-rate
cat-4,Cat 4,Category 4,카테고리 4 안전 등급,로봇,산업용 기계나 로봇의 안전 제어 시스템 부품에서 한 부분에 고장이 발생하더라도 전체 안전 기능이 상실되지 않고 위험을 즉시 방지하도록 설계된 최상위 수준의 안전 설계 등급 표준입니다. 부품 손상이 감지되면 즉시 로봇을 멈추게 합니다. 공장에서 작업자와 가까운 거리에서 함께 움직이는 협동 기반 제조 로봇의 첨단 안전장치 신뢰성 검증에 필수적입니다.,
ccl,CCL,Copper Clad Laminate,동박적층판,반도체,"전자 회로 기판의 뼈대가 되는 중심 기초 판재로, 절연 수지 판막 위에 얇은 구리막을 입혀 만든 전기 신호 전달용 소재입니다. 반도체와 전자 부품들이 신호를 막힘없이 주고받도록 미세한 구리 회로 길을 만들어주는 기본 바탕이 됩니다. 고성능 대용량 데이터를 지연 없이 빠르게 처리해야 하는 차세대 인공지능 가속기용 기판 제조에 필수적입니다.",ai-가속기;pcb
cis-content,,Cis Content,시스 함량,소재,합성고무를 구성하는 분자 사슬 모양 구조 중 고무의 탄성과 유연성을 결정짓는 '시스' 형태 분자의 백분율 함량입니다. 이 비율이 높을수록 고무 물질이 쉽게 닳지 않고 추운 날씨에도 딱딱하게 굳지 않으며 우수한 복원력을 유지합니다. 타이어나 고기능성 산업용 고무 제품의 강도와 점도를 향상시키는 부타디엔 합성고무 가공 기술의 핵심 규격입니다.,
clc,CLC,Chemical Looping Combustion,매체 순환 연소 기술,에너지,"공기 중의 산소를 연료와 직접 반응시키지 않고, 금속 매개체를 순환시켜 산소만 전달하여 연료를 태우는 친환경 청정 연소 기술입니다. 공기 속 질소가 섞이지 않아 연소 후 배기가스에 이산화탄소와 물만 남으므로 온실가스를 별도 비용 없이 쉽게 분리할 수 있습니다. 저비용으로 대량의 산소를 안정적으로 생산하고 이산화탄소를 원천 포집하는 공정에 활용됩니다.",흡수제;흡착제
cmos-이미지센서,CIS,CMOS Image Sensor,상보성 금속 산화막 반도체 이미지 센서,반도체,"카메라 렌즈를 통해 들어온 빛을 전기적 신호로 변환하여 디지털 사진이나 영상으로 만들어주는 반도체 칩입니다. 전력 소모가 적고 주변 회로와 하나의 칩으로 통합하기 쉬워 스마트폰 카메라, 자율주행 차량용 카메라, 바이오 인식 장치 등 이미지를 포착하는 다양한 기기에 널리 쓰입니다.",soc
cnc,CNC,Computerized Numerical Controller,컴퓨터 수치 제어기,장비,"컴퓨터 프로그램을 통해 가공 장비의 이동 거리, 회전 속도, 깊이 등을 정밀하게 계산하여 자동으로 깎거나 다듬도록 지시하는 장치입니다. 사람이 수동으로 조작할 때보다 오차가 없고 복잡한 입체 구조도 빠르게 대량 생산할 수 있어, 탄소섬유 복합재 가공이나 첨단 머시닝센터 등 정밀 제조 장비의 두뇌 역할을 합니다.",
cnt,CNT,Carbon Nanotube,탄소나노튜브,소재,"탄소 원자들이 벌집 모양으로 연결되어 가늘고 긴 튜브 형태를 이루고 있는 미세한 나노 물질입니다. 강철보다 수백 배 단단하면서도 구리만큼 전기가 잘 통하고 가벼운 특성이 있어, 배터리의 효율을 높이는 도전재 물질이나 고기능성 섬유 등 다양한 첨단 산업 분야의 신소재로 활용됩니다.",
cpu,CPU,Central Processing Unit,중앙 처리 장치,반도체,"컴퓨터나 전자기기 안에서 복잡한 연산, 데이터 처리, 시스템 제어 등 핵심적인 계산을 도맡아 하는 가장 중요한 반도체입니다. 인간의 대뇌와 같은 역할을 수행하며, 최근에는 인공지능 성능을 극대화하기 위해 메모리반도체와 직접 데이터를 주고받을 때 발생하는 데이터 정체 현상을 해결하는 방향으로 기술이 개발되고 있습니다.",pim;cxl;hbm
cvd,CVD,Chemical Vapor Deposition,화학 증착법,반도체,"반도체 기판 위에 기체 상태의 화학 원료를 주입한 뒤, 열이나 플라즈마로 반응을 일으켜 얇은 보호막이나 회로막을 쌓아 올리는 공정입니다. 기체 분자 간의 화학적 반응을 이용하기 때문에 굴곡진 기판 표면에도 비교적 균일하게 막을 입힐 수 있어, 첨단 반도체 칩 내부의 고성능 절연막 등을 형성할 때 널리 쓰입니다.",ald;high-k-dielectric
cxl,CXL,Compute Express Link,컴퓨트 익스프레스 링크,반도체,"장치 간의 데이터 전송 통로를 하나로 통합하여 컴퓨터 내부의 프로세서와 메모리, 가속기들을 더 빠르고 효율적으로 연결해 주는 차세대 연결 규격입니다. 기존 시스템의 메모리 용량 한계를 극대화하고 데이터 처리 정체를 줄여주기 때문에, 초거대 인공지능이나 고성능 데이터 센터의 연산 능력을 높이는 핵심 기술로 쓰입니다.",cpu;hbm;pim;llc
ddi,DDI,Display Driver IC,디스플레이 구동 칩,디스플레이,"스마트폰이나 TV 화면의 화소들이 색상과 밝기를 제대로 표현할 수 있도록 중앙 장치의 디지털 신호를 아날로그 전기 신호로 바꾸어 전달하는 반도체입니다. 화면에 글자나 영상이 깨끗하게 표시되도록 직접 구동 명령을 내리는 전송 통로 역할을 하며, 고화질 올레드(OLED)나 차량용 대화면 디스플레이에 필수적입니다.",amoled;pmic
dds,DDS,Drug Delivery System,약물전달시스템,바이오,"치료용 약물이 신체 내의 목표로 하는 특정 병변 부위에만 정확하게 전달되도록 유도하고, 약물의 방출 속도를 필요한 만큼 정밀하게 조절하는 약제 가공 및 제형 기술입니다. 약의 부작용을 최소화하고 치료 효능을 극대화합니다. 기존 제약 성분의 염을 바꾸거나 복합제를 제조하는 등 제약 산업의 혁신형 개량신약을 연구하고 개발하는 핵심 제형 기술로 쓰입니다.",
derivative-ip,Derivative IP,Derivative Intellectual Property,파생 설계 자산,반도체,"기존에 이미 검증된 반도체 회로 블록 설계 자산을 기반으로, 특정 스마트폰, 차량용, 서버용 등 고객사가 원하는 정밀 용도에 맞추어 세부 구조를 변형하고 최적화한 맞춤형 반도체 설계 모듈입니다. 처음부터 다시 설계하지 않아 개발 기간을 대폭 단축시킵니다. 초미세 반도체 파운드리 위탁 생산 공정에서 고객사 유치를 위한 핵심 인프라로 설계·검증됩니다.",derivative-library;ip
derivative-library,Derivative Library,Derivative Library,파생 라이브러리,반도체,"반도체를 설계할 때 기본이 되는 논리 게이트나 미세 회로 부품 배치 데이터 모음을 모바일, 인공지능 가속기, 서버 등 특정 응용 분야의 성능 요구 조건에 맞춰 미세 튜닝하고 최적화한 설계 부품 세트입니다. 반도체 설계 효율을 높이는 기초 템플릿입니다. 7나노미터 이하급 첨단 파운드리 공정에서 맞춤형 응용 반도체 칩을 빠르게 제조하는 데 쓰입니다.",derivative-ip;library
df,Df,Dissipation Factor,유전손실률,반도체,"절연체 전기 회로 기판소재에 교류 전류나 고주파 신호가 흐를 때, 신호 에너지의 일부가 내부 열로 변하여 손실되는 비율을 나타내는 물리적 수치입니다. 이 값이 아주 낮을수록 고주파 전송 시 데이터 왜곡이나 전력 신호의 손실을 방지할 수 있습니다. 방대한 연산을 초고속으로 수행하는 대형 AI 가속기용 동박적층판 회로 기판의 필수 저손실 규격입니다.",ccl;ai-가속기
dna,DNA,Deoxyribonucleic Acid,디옥시리보핵산,바이오,"생명체의 모든 유전 정보를 담고 있는 나선 구조의 고분자 물질로, 생물의 성장, 발달, 기능에 필요한 유전적 설계도 역할을 합니다. 모든 생물 세포의 핵 속에 내장되어 있습니다. 환자의 몸이나 혈액 등 검체로부터 이 유전 물질을 정밀하게 추출하고 서열을 분석함으로써 유전 질환이나 감염병 유무를 명확히 판별하는 분자 진단 기기 및 시약 개발에 활용됩니다.",핵산
dvr,DVR,Digital Video Recorder,디지털 영상 녹화 장치,보안,보안카메라나 폐쇄회로 화면으로 촬영된 아날로그 또는 디지털 영상 신호를 디지털 데이터 파일로 변환하여 대용량 하드디스크 등 저장 장치에 고화질로 기록하고 관리하는 영상 보안 장치입니다. 고속 영상 처리와 지능형 보안 시스템의 핵심 하드웨어입니다. 고성능 컴퓨터 기능을 내장한 영상 관제용 시스템 온 칩 반도체를 설계하고 탑재하는 주요 가전·보안 분야입니다.,ap
d램,DRAM,Dynamic Random Access Memory,동적 임의 접근 메모리,반도체,"전원이 켜져 있는 동안에도 기억된 데이터를 유지하기 위해 지속적으로 전기를 공급해 주어야 하는 메모리반도체입니다. 정보를 빠르게 읽고 쓸 수 있어 컴퓨터나 스마트폰의 중앙처리장치가 작업을 처리할 때 필요한 임시 작업 공간 역할을 하며, 전원을 끄면 데이터가 사라지는 특징이 있습니다.",낸드플래시메모리;pram;reram;stt-mram
ecu,ECU,Electronic Control Unit,전자제어장치,자동차,"자동차의 엔진, 변속기, 제동 장치 등 각 작동 부위의 센서로부터 신호를 받아 연산하고 모터를 제어하는 차량 내부의 컴퓨터 장치입니다. 사람의 뇌처럼 자동차의 주행 기능을 종합 제어합니다. 자동차 신뢰성 국제 표준 시험 기준을 충족해야 하며, 전기차와 자율주행 차량용 시스템 온 칩 반도체 및 지능형 마이크로 전력 제어 소자를 설계할 때 쓰입니다.",mcu;파워ic
ecu-2,ECU,Electronic Control Unit,전자제어장치,미래차,"차량의 주행 동작과 내장된 각종 전기 장치들의 부품 센서 신호를 받아 하드웨어 연산을 거쳐 최적의 동작을 지시하는 자동차 안의 컴퓨터 제어 모듈입니다. 친환경 미래차의 전력 배분과 안전 주행을 전담합니다. 가혹한 차량 환경을 견뎌야 하므로 국제 기능 안전 표준 규격을 만족해야 하며 차량용 마이크로 컨트롤러, 전력 제어 반도체를 탑재해 제조하는 핵심 부품입니다.",mcu-2;파워ic
euv,EUV,Extreme Ultraviolet,극자외선,반도체,"반도체 기판에 미세한 회로를 그리는 노광 공정에서 쓰이는 매우 파장이 짧은 빛입니다. 기존 광원보다 파장이 훨씬 짧아 반도체 칩 안에 아주 가늘고 촘촘한 전자 회로를 한 번에 그려 넣을 수 있으며, 반도체의 크기를 줄이고 성능과 전력 효율을 극대화하기 위한 초미세 공정에 필수적입니다.",arf
fhd,FHD,Full High Definition,풀에이치디 해상도,디스플레이,"가로 1920개, 세로 1080개의 화소로 총 약 200만 개의 점들로 화면을 촘촘하게 채워 정밀한 무늬와 영상을 표현하는 고화질 디스플레이 해상도 규격입니다. 일반 HD 화면보다 훨씬 선명하고 왜곡 없는 시각 효과를 줍니다. 실리콘 웨이퍼 기판 위에 정밀하게 유기물을 증착하거나 프린팅하여 고휘도 패널 및 초고화질 소형 화면 구동 칩을 설계할 때 핵심 기준으로 활용됩니다.",화소;진공-증발-증착
fmm,FMM,Fine Metal Mask,파인 메탈 마스크,디스플레이,"유기발광다이오드 디스플레이 제조 공정에서 유기물질을 기판에 기화시켜 붙일 때, 정해진 화소 자리에만 빨강, 초록, 파랑 물질이 정확히 가라앉도록 아주 미세한 구멍들이 뚫려 있는 초정밀 금속 가림판입니다. 고해상도 화면을 만드는데 필수적입니다. 유기물 발광층 형성 및 외부 공기를 차단하는 고성능 패널 제조 공정 장비와 부품 제조 기술에 필수적으로 쓰입니다.",화소;증착-2
fpd,FPD,Flat Panel Display,평판 디스플레이,디스플레이,과거의 두꺼운 브라운관과 달리 얇고 평평한 구조를 가진 액정 표시 장치나 유기발광다이오드 등의 화면 표시 장치를 통칭하는 말입니다. 가볍고 얇아서 널리 쓰이지만 제조 공정 중 유리 기판이 매우 크고 깨지기 쉬워 정밀한 취급이 필요합니다. 공장 내부 진공이나 일반 대기 조건에서 고중량 패널 및 제조용 마스크 원판을 안전하게 옮기는 이송 로봇 설계에 쓰입니다.,
fuel-c,,Fuel C,표준 시험 유류 C,소재,자동차 연료나 화학 수송관 등에 사용되는 고무 소재의 물리적 내구성과 내화학성을 평가하기 위해 인위적으로 조합하여 만든 표준 시험용 휘발유 성분의 혼합 유류입니다. 가혹한 오일 접촉 환경을 시뮬레이션하는 데 쓰입니다. 극저온을 견디며 이 표준 기름에 노출되어도 부피가 거의 변하지 않고 원형을 유지하는 불소계 합성고무의 품질 인증 시험 규격으로 사용됩니다.,
ga2o3,,Gallium Oxide,산화갈륨,반도체,"기존의 실리콘보다 높은 전압과 고온 환경을 훨씬 잘 견디는 특성을 지닌 차세대 화합물 반도체 소재입니다. 에너지 손실을 최소화하면서 큰 전력을 제어할 수 있어 전력 효율을 극대화해야 하는 전기차 구동계나 고전압 변전 설비 등에 쓰이며, 차세대 고전력 반도체 기판을 만들기 위한 유망한 물질로 개발 중입니다.",gan;sic;mosfet;igbt
gan,GaN,Gallium Nitride,질화갈륨,반도체,"갈륨과 질소를 결합하여 만든 화합물 반도체 소재로, 기존 실리콘에 비해 전자의 이동 속도가 매우 빠르고 높은 전압과 열에 강한 특성을 가집니다. 부품의 크기를 대폭 줄이면서도 고전력 고효율 성능을 낼 수 있어, 고속 무선 충전기, 고주파 통신 장비, 전기차의 에너지 효율 향상용 전력 관리 반도체 기판으로 널리 활용됩니다.",ga2o3;sic;mosfet;igbt
gnss,GNSS,Global Navigation Satellite System,위성항법시스템,항공,"인공위성을 이용해 지구 전역 어디에서나 움직이는 물체의 실시간 위치, 고도, 속도 정보를 정밀하게 측정할 수 있도록 해주는 범지구적 위성 위치 파악 시스템입니다. 흔히 쓰는 미국 GPS가 대표적입니다. 무인 드론이나 비행체가 위성 신호가 끊긴 특수 조난·방해 환경에서도 내장 센서만으로 충돌을 회피하며 안전하게 비행하도록 돕는 융합 센서 카메라 기술에 쓰입니다.",ins
gwp,GWP,Global Warming Potential,지구온난화지수,탄소중립,이산화탄소를 기준으로 하여 특정 온실가스가 대기 중에서 지구 온난화를 유발하는 효과를 숫자로 수량화한 환경 영향 지표입니다. 수치가 낮을수록 지구 환경에 유해성이 적음을 의미합니다. 반도체 및 디스플레이 제조의 미세 회로 식각 공정과 박막 증착 공정 시 배출되는 가스를 친환경 저지수 대체 가스로 전환하여 공장에 적용하는 탄소 감축 기술에 적용됩니다.,
haze,,Haze,헤이즈(흐림도),소재,빛이 투명한 고체 소재나 필름을 통과할 때 내부 불순물이나 표면 굴곡으로 인해 사방으로 흩어지면서 뿌옇고 흐리게 보이는 광학적 흐림도 비율입니다. 수치가 낮을수록 유리가 없는 것처럼 맑고 흠집 없는 광학 특성을 뜻합니다. 스마트폰 디스플레이 겉면에 투명하게 발라 부품을 붙여주는 실리콘계 고성능 점착제의 선명도 품질 인증 규격으로 쓰입니다.,
hbm,HBM,High Bandwidth Memory,고대역폭 메모리,반도체,"여러 개의 메모리 칩을 아파트처럼 수직으로 높게 쌓은 뒤, 미세한 통로를 뚫어 데이터가 지나다니는 길을 획기적으로 넓힌 고성능 메모리반도체입니다. 한 번에 엄청난 양의 데이터를 초고속으로 전송할 수 있어 인공지능 연산이나 고성능 그래픽 처리에 필수적이며, 시스템의 병목 현상을 해결하는 핵심 부품입니다.",cpu;cxl;pim;llc
hdr-cmos-이미지센서,HDR CMOS Image Sensor,High Dynamic Range Complementary Metal-Oxide Semiconductor Image Sensor,고다이내믹레인지 반도체 이미지 센서,반도체,"카메라 렌즈를 통해 들어오는 빛을 디지털 전기 신호로 바꾸는 이미지센서로, 아주 밝은 곳과 어두운 곳이 한 화면에 섞여 있어도 눈으로 보는 것처럼 뚜렷하게 모두 표현하는 고성능 반도체 소자입니다. 명암 왜곡을 없애줍니다. 고화질 자율주행 차량용 블랙박스 카메라, 지능형 보안 카메라용 전력 저감형 시스템 온 칩 및 정밀 마이크로 센서 패키징 공정에 쓰입니다.",ap
hepa,HEPA,High Efficiency Particulate Air,헤파 필터,소재,"공기 중에 떠다니는 미세한 먼지나 유해 균, 유기물 등의 초미세 입자를 매우 높은 효율로 완벽에 가깝게 걸러내는 거름용 고성능 정밀 필터 규격입니다. 공기청정기나 반도체 공장의 청정실 등에 필수적입니다. 지름이 1마이크로미터 이하인 가느다란 극세 섬유 부직포를 겹겹이 제조하여 고성능 정밀 여과 복합 소재를 생산하는 필터 제조 기술에 적용됩니다.",
high-k-dielectric,High-k,High-k Dielectric,고유전체,반도체,"반도체 소자 내부에서 전류가 엉뚱한 곳으로 새어나가지 않도록 막아주면서도 전기를 잘 저장하는 성질을 지닌 특수 절연 소재입니다. 반도체 회로가 극도로 미세해지면서 발생하는 누설 전류 현상을 차단해 주어 칩의 오작동을 막고 소비 전력을 줄여주며, 초미세 공정을 거치는 고성능 반도체 박막 제조에 꼭 필요합니다.",cvd;ald;sinx
h형강,,H-Beam,H형강,소재,"단면의 모양이 알파벳 대문자 'H' 모양을 가진 긴 강철 기둥으로, 위아래와 좌우에서 가해지는 거대한 무게 압력을 고르게 분산하여 잘 부러지지 않는 건축 기초용 철강 소재입니다. 대형 건축물이나 교량의 뼈대로 쓰입니다. 지진이나 한파 등의 극한 환경에서도 깨지지 않도록 영하 40도 이하 극저온 충격을 버티는 철강 구조물을 개발하고 가공하는 기술에 쓰입니다.",
igbt,IGBT,Insulated Gate Bipolar Transistor,절연 게이트 양극성 트랜지스터,반도체,"높은 전압과 대용량의 전류를 신속하고 정밀하게 켜고 끌 수 있도록 설계된 고성능 전력 조절 반도체 소자입니다. 전기를 주입하거나 차단하는 스위치 역할을 수행하여 모터의 회전 속도를 부드럽게 제어하며, 에너지를 효율적으로 아껴주기 때문에 전기차 인버터, 고효율 가전제품, 산업용 전력 제어 장치에 널리 쓰입니다.",mosfet;gan;sic;ga2o3
ins,INS,Inertial Navigation System,관성항법시스템,항공,"외부 유선 위성 신호의 도움 없이 내장된 가속도계와 자이로스코프 센서를 이용해 물체의 가속도와 방향 회전을 측정하여 실시간 위치와 진행 속도를 스스로 계산하는 자율 항법 장치입니다. 터널이나 전파 방해가 심한 곳에서도 끊기지 않습니다. 무인 비행체에 경량 레이더, 충돌 방지용 라이더 등 첨단 센서 장비를 결합하여 무인 운송을 지원하는 기술에 쓰입니다.",gnss;lidar
ip,IP,Intellectual Property,반도체 설계 자산,반도체,"반도체 칩 내부의 특정 기능(예: 통신, 그래픽 처리 등)을 수행하도록 미리 반복 검증하여 만들어 둔 독자적이고 재사용 가능한 회로 설계 회로 블록 정보입니다. 반도체를 매번 처음부터 새로 설계하는 수고를 덜어 개발 효율을 대폭 향상시킵니다. 초미세 7나노미터 이하 파운드리 위탁 제조 공정에서 모바일, 인공지능 칩을 설계하는 핵심 라이브러리 자산으로 사용됩니다.",library;derivative-ip
iso26262,ISO 26262,ISO 26262,자동차 기능 안전성 국제 표준,미래차,"자동차에 탑재되는 전기·전자 시스템과 반도체의 오류나 오작동으로 인해 발생할 수 있는 사고와 위험을 방지하기 위해 제정된 국제 자동차 기능 안전 규격 표준입니다. 차량용 부품 개발 전 과정의 안전 신뢰성을 검증합니다. 미래 자율주행 차량용 마이크로 컨트롤러 유닛, 자동차 제어 장치 및 전력 제어 반도체의 설계 신뢰성을 인증하는 핵심 표준으로 사용됩니다.",mcu-2;ecu-2
ksd9502,KS D 9502,Korean Industrial Standards D 9502,염수 분무 시험 방법 표준,소재,대한민국 국가 표준 규격으로 금속 도금 강판이나 도장면 표면에 소금물을 지속적으로 뿜어 금속이 얼마나 부식되지 않고 잘 견디는지를 검증하는 한국산업표준 소금물 분무 시험 기준입니다. 가혹한 부식 환경을 시험합니다. 차량 배기계나 고온 부품에 쓰이는 알루미늄 도금 강판의 고온 내열성과 수천 시간의 내식성 보증 신뢰성을 확인하는 데 활용됩니다.,
lcd,LCD,Liquid Crystal Display,액정 표시 장치,디스플레이,백라이트 조명에서 나오는 빛의 양을 가느다란 액정 분자의 배열을 변화시켜 조절함으로써 화면에 영상과 색상을 나타내는 대표적인 평판 디스플레이 장치입니다. 대형화가 쉽고 수명이 깁니다. 4K 고해상도와 고주파수 구동 속도를 만족하는 고급형 액정 화면 패널 및 고성능 화면 구동 신호를 전달하는 디스플레이 구동 반도체 칩 설계 기술에 폭넓게 쓰입니다.,mini-led
